Id1,Nome da imagem,Experimento,Skipped,MstoCreate,MstoLabel,Curto,LeftPoca,WidthPoca,TopPoca,HeightPoca,LeftArame,WidthArame,TopArame,HeightArame
cl4rdfn831it1074jcj3o43lf,Img990.bmp,Experimento1,FALSE,2505,2505,0,46,110,136,23,90,23,117,21
cl4rdfnwu1it4074je1x82djz,Img991.bmp,Experimento1,FALSE,84693,451,0,44,113,116,8,90,24,116,23
cl4rdgbnq0faq07b355kq2ih1,Img992.bmp,Experimento1,FALSE,71286,408,1,49,101,113,10,90,24,113,27
cl4rdh9031gv8078dez1y5lod,Img994.bmp,Experimento1,FALSE,70092,91,0,54,98,121,7,90,23,121,19
cl4rdh9mb1j3y074jaago890j,Img995.bmp,Experimento1,FALSE,65563,562,0,34,131,134,8,91,22,100,24
cl4rh2zo902fq077oep6vg2ih,Img996.bmp,Experimento1,FALSE,2118,1179,0,42,116,99,9,90,24,99,25
cl4rhhhzq03zn079ihdkocsrl,Img993.bmp,Experimento1,FALSE,26689,1687,1,47,106,112,14,91,23,112,29
cl4rhjskd05ip077359bj0cxt,Img997.bmp,Experimento1,FALSE,28757,3756,0,41,118,82,6,91,24,82,43
cl4rhkd0r05w1076c8z6kg7c2,Img998.bmp,Experimento1,FALSE,16964,1963,0,42,117,83,12,91,23,83,41
cl4rhky7w05yt076ca9f60jx8,Img0.bmp,Experimento1,FALSE,2157,1569,0,36,121,101,10,92,22,101,24
cl4rhldup04nk078a5kmo6ny0,Img1.bmp,Experimento1,FALSE,22711,271,0,36,125,85,14,92,24,85,41
cl4rhlvkl05sm07732rr8bhxa,Img2.bmp,Experimento1,FALSE,20,20,0,39,117,101,11,92,23,101,23
cl4rhmczn05o707708mwresyd,Img3.bmp,Experimento1,FALSE,25023,21,0,38,115,86,11,92,24,86,35
cl4rhmvrp05rg07705v962cob,Img4.bmp,Experimento1,FALSE,52013,6469,0,37,117,97,17,92,23,97,24
cl4rphcev1a5n0770b3b21y48,Img5.bmp,Experimento1,FALSE,21353,1351,0,37,120,97,11,92,23,97,24
cl4rptddq1e66078a5vqufu3o,Img6.bmp,Experimento1,FALSE,30913,912,1,39,116,102,10,92,23,102,21
cl4rptws71cdp0770hh5w2vy4,Img7.bmp,Experimento1,FALSE,2203,2029,1,40,111,108,10,92,24,108,16
cl4rpuloj1div077t54liaq0s,Img8.bmp,Experimento1,FALSE,28416,3414,0,36,122,85,4,92,23,85,30
cl4rpv2il1dm7077tab71ascx,Img9.bmp,Experimento1,FALSE,1507,68,0,39,115,92,4,92,23,92,26
cl4rpvops1ey7079i59ht661j,Img10.bmp,Experimento1,FALSE,23778,3777,0,35,124,64,8,92,24,64,55
